=== 2048 DQN長時間学習開始 ===
開始時刻: Thu Dec 18 04:16:50 UTC 2025
エピソード数: 50000
保存間隔: 1000エピソード
ログファイル: logs/training_20251218_041650.log
================================
学習プロセスID: 947990

=== 学習がバックグラウンドで開始されました ===

進捗確認方法:
  tail -f logs/training_20251218_041650.log

最新の統計確認:
  grep 'Episode' logs/training_20251218_041650.log | tail -10

プロセス確認:
  ps -p 947990

学習を停止する場合:
  kill 947990

モデルテスト（別ターミナルで実行可能）:
  source .venv/bin/activate
  python training/reinforcement_learning/test.py --games 100

最良モデルのテスト:
  python training/reinforcement_learning/test.py --model checkpoints/best_model.pth --games 100
================================
Using device: cpu
Resumed from episode 4500, steps 546412
Episode  8500 | Avg Score:   1206.0 | Avg Max Tile:  108.8 | Loss: 6.8713 | LR: 2.75e-04 | Eps: 0.121
Episode  8600 | Avg Score:   1093.2 | Avg Max Tile:  101.6 | Loss: 4.5732 | LR: 2.71e-04 | Eps: 0.118
Episode  8700 | Avg Score:   1212.2 | Avg Max Tile:  108.8 | Loss: 2.1029 | LR: 2.68e-04 | Eps: 0.116
Episode  8800 | Avg Score:   1294.0 | Avg Max Tile:  118.4 | Loss: 2.0361 | LR: 2.64e-04 | Eps: 0.113
Episode  8900 | Avg Score:   1313.2 | Avg Max Tile:  116.2 | Loss: 1.8508 | LR: 2.60e-04 | Eps: 0.110
Checkpoint saved (episode 9000, best avg: 1547.5)
Episode  9000 | Avg Score:   1100.2 | Avg Max Tile:   99.7 | Loss: 2.0211 | LR: 2.56e-04 | Eps: 0.108
Episode  9100 | Avg Score:   1215.7 | Avg Max Tile:  103.7 | Loss: 4.3755 | LR: 2.52e-04 | Eps: 0.105
Episode  9200 | Avg Score:   1720.5 | Avg Max Tile:  145.0 | Loss: 9.2873 | LR: 2.47e-04 | Eps: 0.102
Episode  9300 | Avg Score:   1577.5 | Avg Max Tile:  140.8 | Loss: 6.6611 | LR: 2.43e-04 | Eps: 0.099
Episode  9400 | Avg Score:   1311.4 | Avg Max Tile:  116.5 | Loss: 3.6736 | LR: 2.38e-04 | Eps: 0.097
Episode  9500 | Avg Score:   1356.2 | Avg Max Tile:  120.3 | Loss: 2.3829 | LR: 2.33e-04 | Eps: 0.094
